Machine_ID,Temperature,Run_Time,Torque,Tool_Wear,Downtime_Flag
1,85.0,233.0,50.7,62.0,0
2,79.0,80.0,46.0,17.0,0
3,86.0,207.0,63.0,18.0,1
4,95.0,100.0,25.2,185.0,0
5,78.0,414.0,52.6,138.0,0
6,78.0,476.0,51.5,25.0,0
7,96.0,83.0,30.3,71.0,0
8,88.0,480.0,50.1,118.0,0
9,75.0,285.0,43.4,167.0,0
10,85.0,185.0,37.7,9.0,0
11,75.0,85.0,31.8,47.0,0
12,75.0,275.0,32.8,178.0,0
13,82.0,408.0,60.5,2.0,1
14,61.0,368.0,40.0,40.0,0
15,63.0,73.0,47.8,192.0,0
16,74.0,83.0,32.1,123.0,0
17,70.0,231.0,32.2,52.0,0
18,83.0,183.0,50.8,13.0,0
19,71.0,155.0,26.5,6.0,0
20,66.0,176.0,35.8,49.0,0
21,95.0,412.0,40.3,176.0,1
22,78.0,468.0,41.1,83.0,0
23,81.0,232.0,38.2,144.0,0
24,66.0,458.0,44.0,184.0,0
25,75.0,195.0,46.9,82.0,0
26,81.0,264.0,47.3,38.0,0
27,68.0,152.0,30.1,103.0,0
28,84.0,338.0,37.2,182.0,0
29,74.0,491.0,51.9,161.0,0
30,77.0,322.0,48.9,13.0,0
31,74.0,211.0,26.3,139.0,0
32,99.0,342.0,43.5,114.0,0
33,80.0,105.0,20.2,181.0,0
34,69.0,450.0,40.5,24.0,0
35,88.0,276.0,59.0,107.0,0
36,68.0,252.0,30.5,176.0,0
37,82.0,314.0,31.7,82.0,0
38,60.0,331.0,47.6,96.0,0
39,67.0,82.0,24.6,14.0,0
40,82.0,357.0,33.7,56.0,0
41,87.0,159.0,46.0,65.0,0
42,82.0,371.0,33.7,189.0,0
43,79.0,420.0,37.6,57.0,0
44,77.0,412.0,47.4,92.0,0
45,65.0,299.0,44.2,134.0,0
46,73.0,284.0,42.7,32.0,0
47,75.0,114.0,36.6,97.0,0
48,91.0,399.0,43.7,148.0,0
49,83.0,172.0,38.8,173.0,0
50,62.0,274.0,44.6,125.0,0
51,83.0,178.0,35.0,134.0,0
52,76.0,110.0,38.2,25.0,0
53,73.0,333.0,30.1,189.0,0
54,86.0,74.0,39.6,27.0,0
55,90.0,387.0,31.9,155.0,0
56,89.0,193.0,28.9,53.0,0
57,72.0,50.0,42.6,187.0,0
58,77.0,280.0,42.1,144.0,0
59,83.0,71.0,47.8,151.0,0
60,90.0,174.0,35.7,44.0,0
61,75.0,368.0,44.1,89.0,0
62,78.0,78.0,45.5,124.0,0
63,69.0,428.0,44.4,154.0,0
64,68.0,52.0,31.7,21.0,0
65,88.0,161.0,41.5,192.0,0
66,94.0,383.0,43.6,178.0,0
67,79.0,192.0,40.1,54.0,0
68,90.0,96.0,19.1,165.0,0
69,84.0,212.0,41.6,104.0,0
70,74.0,172.0,62.1,92.0,1
71,84.0,429.0,36.4,63.0,0
72,95.0,191.0,32.7,116.0,0
73,80.0,405.0,43.7,146.0,0
74,96.0,451.0,43.1,82.0,1
75,60.0,245.0,51.9,126.0,0
76,88.0,459.0,27.4,140.0,0
77,81.0,220.0,47.3,142.0,0
78,77.0,484.0,45.9,10.0,0
79,81.0,90.0,38.6,172.0,0
80,60.0,359.0,43.4,92.0,0
81,78.0,272.0,50.3,52.0,0
82,84.0,224.0,48.7,48.0,0
83,95.0,335.0,28.6,97.0,0
84,75.0,367.0,48.2,177.0,0
85,72.0,52.0,39.4,76.0,0
86,75.0,125.0,40.7,150.0,0
87,89.0,371.0,40.7,19.0,0
88,83.0,350.0,38.5,95.0,0
89,75.0,485.0,51.9,198.0,0
90,85.0,392.0,39.2,154.0,0
91,81.0,478.0,28.8,42.0,0
92,90.0,366.0,36.1,100.0,0
93,73.0,184.0,41.8,47.0,0
94,77.0,97.0,52.3,82.0,0
95,76.0,402.0,46.0,156.0,0
96,65.0,340.0,31.5,154.0,0
97,83.0,72.0,64.9,46.0,1
98,83.0,212.0,42.6,184.0,0
99,80.0,481.0,52.8,119.0,0
100,78.0,275.0,38.5,76.0,0
101,66.0,245.0,45.3,100.0,0
102,76.0,256.0,48.4,121.0,0
103,77.0,144.0,52.2,112.0,0
104,72.0,216.0,50.6,97.0,0
105,78.0,216.0,48.7,101.0,0
106,84.0,74.0,36.8,35.0,0
107,99.0,395.0,34.3,163.0,0
108,82.0,237.0,43.3,108.0,0
109,83.0,420.0,49.3,26.0,0
110,79.0,433.0,37.8,153.0,0
111,61.0,145.0,50.7,186.0,0
112,80.0,346.0,54.5,189.0,0
113,81.0,263.0,30.8,74.0,0
114,100.0,446.0,31.6,27.0,1
115,78.0,147.0,38.6,104.0,0
116,83.0,355.0,43.1,23.0,0
117,80.0,323.0,34.8,187.0,0
118,68.0,183.0,53.5,37.0,0
119,91.0,111.0,44.2,51.0,0
120,88.0,343.0,40.4,81.0,0
121,88.0,382.0,25.6,77.0,0
122,71.0,192.0,26.8,159.0,0
123,94.0,340.0,42.8,91.0,0
124,66.0,228.0,18.7,34.0,0
125,86.0,371.0,50.1,53.0,0
126,100.0,140.0,38.4,102.0,0
127,70.0,451.0,70.0,29.0,1
128,74.0,179.0,63.1,122.0,1
129,81.0,216.0,38.2,113.0,0
130,75.0,76.0,38.9,143.0,0
131,64.0,100.0,50.0,188.0,0
132,81.0,282.0,57.0,182.0,0
133,69.0,170.0,23.6,189.0,0
134,85.0,426.0,22.1,49.0,0
135,71.0,57.0,33.8,26.0,0
136,95.0,221.0,45.8,60.0,0
137,72.0,202.0,45.0,179.0,0
138,77.0,59.0,50.7,194.0,0
139,88.0,106.0,28.0,172.0,0
140,68.0,236.0,16.8,22.0,0
141,82.0,272.0,48.6,189.0,0
142,93.0,232.0,31.7,85.0,0
143,64.0,289.0,19.8,2.0,0
144,82.0,318.0,41.5,88.0,0
145,83.0,54.0,47.9,9.0,0
146,88.0,259.0,38.8,109.0,0
147,68.0,484.0,35.4,68.0,0
148,67.0,284.0,38.4,95.0,0
149,85.0,355.0,36.3,123.0,0
150,83.0,190.0,26.5,174.0,0
151,83.0,398.0,32.9,132.0,0
152,83.0,398.0,45.2,87.0,0
153,73.0,285.0,43.2,164.0,0
154,82.0,489.0,41.7,181.0,0
155,83.0,106.0,30.0,24.0,0
156,73.0,58.0,38.2,106.0,0
157,99.0,397.0,18.2,57.0,0
158,85.0,413.0,41.8,9.0,0
159,68.0,104.0,54.3,134.0,0
160,87.0,170.0,25.3,173.0,0
161,70.0,58.0,34.1,33.0,0
162,88.0,182.0,43.3,162.0,0
163,92.0,398.0,52.5,171.0,0
164,72.0,283.0,35.5,183.0,0
165,90.0,207.0,33.1,53.0,0
166,84.0,217.0,20.3,181.0,0
167,88.0,51.0,41.0,64.0,0
168,99.0,185.0,60.4,110.0,1
169,78.0,341.0,42.8,10.0,0
170,72.0,488.0,39.8,9.0,0
171,71.0,431.0,43.2,144.0,0
172,72.0,61.0,39.9,89.0,0
173,79.0,454.0,31.9,51.0,0
174,83.0,402.0,48.2,38.0,0
175,83.0,401.0,42.3,134.0,0
176,88.0,256.0,40.2,0.0,0
177,80.0,229.0,30.2,161.0,0
178,95.0,186.0,53.0,16.0,0
179,77.0,80.0,46.6,38.0,0
180,100.0,153.0,34.5,77.0,0
181,86.0,161.0,50.0,97.0,0
182,71.0,268.0,35.0,71.0,0
183,69.0,386.0,32.2,64.0,0
184,85.0,263.0,32.4,193.0,0
185,78.0,76.0,22.3,128.0,0
186,87.0,481.0,44.7,5.0,0
187,85.0,474.0,21.7,86.0,0
188,79.0,403.0,27.7,175.0,0
189,72.0,496.0,19.2,60.0,0
190,65.0,295.0,39.1,19.0,0
191,76.0,483.0,38.5,152.0,0
192,89.0,84.0,36.7,121.0,0
193,82.0,215.0,29.6,114.0,0
194,68.0,151.0,28.3,11.0,0
195,82.0,138.0,44.6,28.0,0
196,84.0,113.0,34.5,125.0,0
197,71.0,330.0,43.2,42.0,0
198,82.0,402.0,31.1,101.0,0
199,81.0,310.0,41.8,109.0,0
200,69.0,116.0,53.0,57.0,0
201,84.0,415.0,45.9,190.0,0
202,86.0,336.0,35.9,168.0,0
203,91.0,225.0,42.6,144.0,0
204,91.0,353.0,37.6,16.0,0
205,66.0,167.0,40.1,21.0,0
206,71.0,205.0,36.7,99.0,0
207,85.0,463.0,38.4,32.0,0
208,85.0,181.0,42.1,196.0,0
209,85.0,261.0,30.1,32.0,0
210,100.0,451.0,29.8,97.0,1
211,86.0,368.0,26.1,73.0,0
212,91.0,78.0,24.0,128.0,0
213,90.0,116.0,27.8,26.0,0
214,87.0,54.0,41.6,86.0,0
215,77.0,334.0,31.1,55.0,0
216,88.0,251.0,45.1,178.0,0
217,72.0,110.0,40.3,8.0,0
218,78.0,481.0,20.3,183.0,0
219,75.0,288.0,46.5,167.0,0
220,81.0,159.0,48.1,60.0,0
221,100.0,275.0,30.1,158.0,0
222,61.0,356.0,44.2,6.0,0
223,87.0,84.0,31.4,193.0,0
224,64.0,174.0,41.0,105.0,0
225,75.0,413.0,27.4,61.0,0
226,91.0,257.0,22.1,73.0,0
227,81.0,296.0,36.2,13.0,0
228,69.0,245.0,38.8,198.0,0
229,73.0,70.0,36.0,8.0,0
230,87.0,125.0,28.2,131.0,0
231,73.0,250.0,36.0,89.0,0
232,82.0,144.0,42.7,190.0,0
233,80.0,72.0,39.6,49.0,0
234,73.0,430.0,41.8,106.0,0
235,100.0,492.0,33.3,96.0,1
236,86.0,407.0,51.7,141.0,0
237,60.0,434.0,28.2,14.0,0
238,82.0,159.0,44.9,39.0,0
239,73.0,482.0,51.8,43.0,0
240,89.0,139.0,44.8,148.0,0
241,72.0,478.0,38.0,38.0,0
242,79.0,498.0,34.7,115.0,0
243,85.0,370.0,50.4,43.0,0
244,89.0,492.0,25.8,172.0,0
245,68.0,306.0,30.3,188.0,0
246,77.0,167.0,36.0,104.0,0
247,75.0,247.0,52.4,70.0,0
248,73.0,317.0,43.8,47.0,0
249,98.0,83.0,30.3,10.0,0
250,84.0,330.0,36.9,54.0,0
251,67.0,492.0,33.9,131.0,0
252,89.0,136.0,32.9,107.0,0
253,100.0,407.0,49.8,189.0,1
254,90.0,459.0,26.3,79.0,0
255,65.0,475.0,56.1,139.0,0
256,75.0,482.0,48.3,98.0,0
257,93.0,285.0,50.9,103.0,0
258,73.0,490.0,35.4,54.0,0
259,84.0,391.0,38.5,91.0,0
260,88.0,123.0,25.7,94.0,0
261,71.0,265.0,34.8,141.0,0
262,79.0,373.0,44.9,188.0,0
263,60.0,161.0,53.0,66.0,0
264,70.0,338.0,28.9,8.0,0
265,77.0,350.0,36.3,99.0,0
266,68.0,123.0,38.5,109.0,0
267,96.0,304.0,26.0,34.0,0
268,66.0,397.0,45.9,152.0,0
269,76.0,275.0,32.8,197.0,0
270,81.0,55.0,38.0,189.0,0
271,94.0,54.0,35.5,39.0,0
272,66.0,211.0,32.1,175.0,0
273,92.0,467.0,39.9,141.0,1
274,80.0,153.0,37.8,91.0,0
275,70.0,335.0,36.3,108.0,0
276,85.0,150.0,32.7,170.0,0
277,82.0,195.0,43.2,96.0,0
278,74.0,432.0,56.5,75.0,0
279,81.0,378.0,41.4,99.0,0
280,76.0,93.0,50.0,116.0,0
281,81.0,243.0,26.1,38.0,0
282,87.0,63.0,41.6,180.0,0
283,96.0,266.0,29.0,135.0,0
284,68.0,348.0,25.2,127.0,0
285,100.0,103.0,32.6,20.0,0
286,60.0,180.0,51.9,121.0,0
287,78.0,229.0,49.5,24.0,0
288,86.0,464.0,42.4,16.0,0
289,83.0,497.0,24.7,105.0,0
